title,creator,date,date is approximate,description,location,county,region,features,flight_line,aerial-type,source,identifier,digitization specifications,rights,format,type,latitude,longitude,digital_collection,cd rom call number,publisher digital,language,date digital,date loaded,contributors,date created,date modified,cdmid,objectid,display_template,filename,object_location,image_small,image_thumb,errors
A1362,166th Photo Section of the Washington National Guard,1933,,"Black and white 1933 oblique air photo taken from aircraft, by the 166th Photo Section of the Washington National Guard, operating out of Felts Field in Spokane.","Clearwater County, Idaho","Clearwater County, Idaho",Pot Mountain,,,oblique-photo,"Partial sets of prints are located at the Clearwater National Forest Supervisor's office in Orofino and at the Moose Creek Ranger District office at Fenn. A copy of the CD-ROM has been sent to Fenn, to Orofino, and two copies are being retained by the University of Idaho Library. One will be kept in Special Collections.",A 1362-33,Images are scanned at 300 dpi using an HP 4c scanner and are saved on the CD-ROM as compressed TIFF files.,"Materials from the University of Idaho Library's Digital Collections are made available online for research purposes. Permission for reproduction, distribution, public display, performance, or publication must be obtained in writing from the Head of Special Collections & Archives. The University of Idaho Library makes no representation that it is the copyright owner in all of its holdings. It is the responsibility of the user to obtain all necessary rights and clearances for use of materials. For questions, contact the Head of Special Collections & Archives.",image/jpeg,Image;StillImage,,,Idaho Aerial Photograph Collection,CD-ROM F746.P76 1997,University of Idaho Library,eng,1997,2008-12-01,Dennis Baird,2008-12-01,2014-10-28,41,aerial41,image,aerial41.jpg,https://objects.lib.uidaho.edu/aerial/aerial41.jpg,https://objects.lib.uidaho.edu/aerial/small/aerial41_sm.jpg,https://objects.lib.uidaho.edu/aerial/thumbs/aerial41_th.jpg,
A1365,166th Photo Section of the Washington National Guard,1933,,"Black and white 1933 oblique air photo taken from aircraft, by the 166th Photo Section of the Washington National Guard, operating out of Felts Field in Spokane.","Clearwater County, Idaho","Clearwater County, Idaho",Pot Mountain,,,oblique-photo,"Partial sets of prints are located at the Clearwater National Forest Supervisor's office in Orofino and at the Moose Creek Ranger District office at Fenn. A copy of the CD-ROM has been sent to Fenn, to Orofino, and two copies are being retained by the University of Idaho Library. One will be kept in Special Collections.",A 1365-33,Images are scanned at 300 dpi using an HP 4c scanner and are saved on the CD-ROM as compressed TIFF files.,"Materials from the University of Idaho Library's Digital Collections are made available online for research purposes. Permission for reproduction, distribution, public display, performance, or publication must be obtained in writing from the Head of Special Collections & Archives. The University of Idaho Library makes no representation that it is the copyright owner in all of its holdings. It is the responsibility of the user to obtain all necessary rights and clearances for use of materials. For questions, contact the Head of Special Collections & Archives.",image/jpeg,Image;StillImage,,,Idaho Aerial Photograph Collection,CD-ROM F746.P76 1997,University of Idaho Library,eng,1997,2008-12-01,Dennis Baird,2008-12-01,2014-10-28,42,aerial42,image,aerial42.jpg,https://objects.lib.uidaho.edu/aerial/aerial42.jpg,https://objects.lib.uidaho.edu/aerial/small/aerial42_sm.jpg,https://objects.lib.uidaho.edu/aerial/thumbs/aerial42_th.jpg,
A1373,166th Photo Section of the Washington National Guard,1933,,"Black and white 1933 oblique air photo taken from aircraft, by the 166th Photo Section of the Washington National Guard, operating out of Felts Field in Spokane.","Clearwater County, Idaho","Clearwater County, Idaho",Clarke Mountain; Lean-to Point; Larch Butte; Pot Mountain,,,oblique-photo,"Partial sets of prints are located at the Clearwater National Forest Supervisor's office in Orofino and at the Moose Creek Ranger District office at Fenn. A copy of the CD-ROM has been sent to Fenn, to Orofino, and two copies are being retained by the University of Idaho Library. One will be kept in Special Collections.",A 1373-33,Images are scanned at 300 dpi using an HP 4c scanner and are saved on the CD-ROM as compressed TIFF files.,"Materials from the University of Idaho Library's Digital Collections are made available online for research purposes. Permission for reproduction, distribution, public display, performance, or publication must be obtained in writing from the Head of Special Collections & Archives. The University of Idaho Library makes no representation that it is the copyright owner in all of its holdings. It is the responsibility of the user to obtain all necessary rights and clearances for use of materials. For questions, contact the Head of Special Collections & Archives.",image/jpeg,Image;StillImage,,,Idaho Aerial Photograph Collection,CD-ROM F746.P76 1997,University of Idaho Library,eng,1997,2008-12-01,Dennis Baird,2008-12-01,2014-10-28,43,aerial43,image,aerial43.jpg,https://objects.lib.uidaho.edu/aerial/aerial43.jpg,https://objects.lib.uidaho.edu/aerial/small/aerial43_sm.jpg,https://objects.lib.uidaho.edu/aerial/thumbs/aerial43_th.jpg,
A1374,166th Photo Section of the Washington National Guard,1933,,"Black and white 1933 oblique air photo taken from aircraft, by the 166th Photo Section of the Washington National Guard, operating out of Felts Field in Spokane.","Clearwater County, Idaho","Clearwater County, Idaho",Lean-to Point,,,oblique-photo,"Partial sets of prints are located at the Clearwater National Forest Supervisor's office in Orofino and at the Moose Creek Ranger District office at Fenn. A copy of the CD-ROM has been sent to Fenn, to Orofino, and two copies are being retained by the University of Idaho Library. One will be kept in Special Collections.",A 1374-33,Images are scanned at 300 dpi using an HP 4c scanner and are saved on the CD-ROM as compressed TIFF files.,"Materials from the University of Idaho Library's Digital Collections are made available online for research purposes. Permission for reproduction, distribution, public display, performance, or publication must be obtained in writing from the Head of Special Collections & Archives. The University of Idaho Library makes no representation that it is the copyright owner in all of its holdings. It is the responsibility of the user to obtain all necessary rights and clearances for use of materials. For questions, contact the Head of Special Collections & Archives.",image/jpeg,Image;StillImage,,,Idaho Aerial Photograph Collection,CD-ROM F746.P76 1997,University of Idaho Library,eng,1997,2008-12-01,Dennis Baird,2008-12-01,2014-10-28,44,aerial44,image,aerial44.jpg,https://objects.lib.uidaho.edu/aerial/aerial44.jpg,https://objects.lib.uidaho.edu/aerial/small/aerial44_sm.jpg,https://objects.lib.uidaho.edu/aerial/thumbs/aerial44_th.jpg,
A1363,166th Photo Section of the Washington National Guard,1933,,"Black and white 1933 oblique air photo taken from aircraft, by the 166th Photo Section of the Washington National Guard, operating out of Felts Field in Spokane.","Clearwater County, Idaho","Clearwater County, Idaho",Pot Mountain,,,oblique-photo,"Partial sets of prints are located at the Clearwater National Forest Supervisor's office in Orofino and at the Moose Creek Ranger District office at Fenn. A copy of the CD-ROM has been sent to Fenn, to Orofino, and two copies are being retained by the University of Idaho Library. One will be kept in Special Collections.",A 1363-33,Images are scanned at 300 dpi using an HP 4c scanner and are saved on the CD-ROM as compressed TIFF files.,"Materials from the University of Idaho Library's Digital Collections are made available online for research purposes. Permission for reproduction, distribution, public display, performance, or publication must be obtained in writing from the Head of Special Collections & Archives. The University of Idaho Library makes no representation that it is the copyright owner in all of its holdings. It is the responsibility of the user to obtain all necessary rights and clearances for use of materials. For questions, contact the Head of Special Collections & Archives.",image/jpeg,Image;StillImage,,,Idaho Aerial Photograph Collection,CD-ROM F746.P76 1997,University of Idaho Library,eng,1997,2008-12-01,Dennis Baird,2008-12-01,2014-10-28,45,aerial45,image,aerial45.jpg,https://objects.lib.uidaho.edu/aerial/aerial45.jpg,https://objects.lib.uidaho.edu/aerial/small/aerial45_sm.jpg,https://objects.lib.uidaho.edu/aerial/thumbs/aerial45_th.jpg,
A1371,166th Photo Section of the Washington National Guard,1933,,"Black and white 1933 oblique air photo taken from aircraft, by the 166th Photo Section of the Washington National Guard, operating out of Felts Field in Spokane.","Clearwater County, Idaho","Clearwater County, Idaho",Clarke Mountain,,,oblique-photo,"Partial sets of prints are located at the Clearwater National Forest Supervisor's office in Orofino and at the Moose Creek Ranger District office at Fenn. A copy of the CD-ROM has been sent to Fenn, to Orofino, and two copies are being retained by the University of Idaho Library. One will be kept in Special Collections.",A 1371-33,Images are scanned at 300 dpi using an HP 4c scanner and are saved on the CD-ROM as compressed TIFF files.,"Materials from the University of Idaho Library's Digital Collections are made available online for research purposes. Permission for reproduction, distribution, public display, performance, or publication must be obtained in writing from the Head of Special Collections & Archives. The University of Idaho Library makes no representation that it is the copyright owner in all of its holdings. It is the responsibility of the user to obtain all necessary rights and clearances for use of materials. For questions, contact the Head of Special Collections & Archives.",image/jpeg,Image;StillImage,,,Idaho Aerial Photograph Collection,CD-ROM F746.P76 1997,University of Idaho Library,eng,1997,2008-12-01,Dennis Baird,2008-12-01,2014-10-28,46,aerial46,image,aerial46.jpg,https://objects.lib.uidaho.edu/aerial/aerial46.jpg,https://objects.lib.uidaho.edu/aerial/small/aerial46_sm.jpg,https://objects.lib.uidaho.edu/aerial/thumbs/aerial46_th.jpg,
A1372,166th Photo Section of the Washington National Guard,1933,,"Black and white 1933 oblique air photo taken from aircraft, by the 166th Photo Section of the Washington National Guard, operating out of Felts Field in Spokane.","Clearwater County, Idaho","Clearwater County, Idaho",Clarke Mountain,,,oblique-photo,"Partial sets of prints are located at the Clearwater National Forest Supervisor's office in Orofino and at the Moose Creek Ranger District office at Fenn. A copy of the CD-ROM has been sent to Fenn, to Orofino, and two copies are being retained by the University of Idaho Library. One will be kept in Special Collections.",A 1372-33,Images are scanned at 300 dpi using an HP 4c scanner and are saved on the CD-ROM as compressed TIFF files.,"Materials from the University of Idaho Library's Digital Collections are made available online for research purposes. Permission for reproduction, distribution, public display, performance, or publication must be obtained in writing from the Head of Special Collections & Archives. The University of Idaho Library makes no representation that it is the copyright owner in all of its holdings. It is the responsibility of the user to obtain all necessary rights and clearances for use of materials. For questions, contact the Head of Special Collections & Archives.",image/jpeg,Image;StillImage,,,Idaho Aerial Photograph Collection,CD-ROM F746.P76 1997,University of Idaho Library,eng,1997,2008-12-01,Dennis Baird,2008-12-01,2014-10-28,47,aerial47,image,aerial47.jpg,https://objects.lib.uidaho.edu/aerial/aerial47.jpg,https://objects.lib.uidaho.edu/aerial/small/aerial47_sm.jpg,https://objects.lib.uidaho.edu/aerial/thumbs/aerial47_th.jpg,
A1376,166th Photo Section of the Washington National Guard,1933,,"Black and white 1933 oblique air photo taken from aircraft, by the 166th Photo Section of the Washington National Guard, operating out of Felts Field in Spokane.","Clearwater County, Idaho","Clearwater County, Idaho",Pot Mountain; Junction Mountain; Elizabeth Lake,,,oblique-photo,"Partial sets of prints are located at the Clearwater National Forest Supervisor's office in Orofino and at the Moose Creek Ranger District office at Fenn. A copy of the CD-ROM has been sent to Fenn, to Orofino, and two copies are being retained by the University of Idaho Library. One will be kept in Special Collections.",A 1376-33,Images are scanned at 300 dpi using an HP 4c scanner and are saved on the CD-ROM as compressed TIFF files.,"Materials from the University of Idaho Library's Digital Collections are made available online for research purposes. Permission for reproduction, distribution, public display, performance, or publication must be obtained in writing from the Head of Special Collections & Archives. The University of Idaho Library makes no representation that it is the copyright owner in all of its holdings. It is the responsibility of the user to obtain all necessary rights and clearances for use of materials. For questions, contact the Head of Special Collections & Archives.",image/jpeg,Image;StillImage,,,Idaho Aerial Photograph Collection,CD-ROM F746.P76 1997,University of Idaho Library,eng,1997,2008-12-01,Dennis Baird,2009-01-07,2014-10-28,48,aerial48,image,aerial48.jpg,https://objects.lib.uidaho.edu/aerial/aerial48.jpg,https://objects.lib.uidaho.edu/aerial/small/aerial48_sm.jpg,https://objects.lib.uidaho.edu/aerial/thumbs/aerial48_th.jpg,
A1377,166th Photo Section of the Washington National Guard,1933,,"Black and white 1933 oblique air photo taken from aircraft, by the 166th Photo Section of the Washington National Guard, operating out of Felts Field in Spokane.","Clearwater County, Idaho","Clearwater County, Idaho",Pot Mountain; Junction Mountain; Elizabeth Lake,,,oblique-photo,"Partial sets of prints are located at the Clearwater National Forest Supervisor's office in Orofino and at the Moose Creek Ranger District office at Fenn. A copy of the CD-ROM has been sent to Fenn, to Orofino, and two copies are being retained by the University of Idaho Library. One will be kept in Special Collections.",A 1377-33,Images are scanned at 300 dpi using an HP 4c scanner and are saved on the CD-ROM as compressed TIFF files.,"Materials from the University of Idaho Library's Digital Collections are made available online for research purposes. Permission for reproduction, distribution, public display, performance, or publication must be obtained in writing from the Head of Special Collections & Archives. The University of Idaho Library makes no representation that it is the copyright owner in all of its holdings. It is the responsibility of the user to obtain all necessary rights and clearances for use of materials. For questions, contact the Head of Special Collections & Archives.",image/jpeg,Image;StillImage,,,Idaho Aerial Photograph Collection,CD-ROM F746.P76 1997,University of Idaho Library,eng,1997,2008-12-01,Dennis Baird,2009-01-07,2014-10-28,49,aerial49,image,aerial49.jpg,https://objects.lib.uidaho.edu/aerial/aerial49.jpg,https://objects.lib.uidaho.edu/aerial/small/aerial49_sm.jpg,https://objects.lib.uidaho.edu/aerial/thumbs/aerial49_th.jpg,
A1378,166th Photo Section of the Washington National Guard,1933,,"Black and white 1933 oblique air photo taken from aircraft, by the 166th Photo Section of the Washington National Guard, operating out of Felts Field in Spokane.","Clearwater County, Idaho","Clearwater County, Idaho",,,,oblique-photo,"Partial sets of prints are located at the Clearwater National Forest Supervisor's office in Orofino and at the Moose Creek Ranger District office at Fenn. A copy of the CD-ROM has been sent to Fenn, to Orofino, and two copies are being retained by the University of Idaho Library. One will be kept in Special Collections.",A 1378-33,Images are scanned at 300 dpi using an HP 4c scanner and are saved on the CD-ROM as compressed TIFF files.,"Materials from the University of Idaho Library's Digital Collections are made available online for research purposes. Permission for reproduction, distribution, public display, performance, or publication must be obtained in writing from the Head of Special Collections & Archives. The University of Idaho Library makes no representation that it is the copyright owner in all of its holdings. It is the responsibility of the user to obtain all necessary rights and clearances for use of materials. For questions, contact the Head of Special Collections & Archives.",image/jpeg,Image;StillImage,,,Idaho Aerial Photograph Collection,CD-ROM F746.P76 1997,University of Idaho Library,eng,1997,2008-12-01,Dennis Baird,2009-01-07,2014-10-28,50,aerial50,image,aerial50.jpg,https://objects.lib.uidaho.edu/aerial/aerial50.jpg,https://objects.lib.uidaho.edu/aerial/small/aerial50_sm.jpg,https://objects.lib.uidaho.edu/aerial/thumbs/aerial50_th.jpg,
A1394,166th Photo Section of the Washington National Guard,1933,,"Black and white 1933 oblique air photo taken from aircraft, by the 166th Photo Section of the Washington National Guard, operating out of Felts Field in Spokane.","Clearwater County, Idaho","Clearwater County, Idaho",,,,oblique-photo,"Partial sets of prints are located at the Clearwater National Forest Supervisor's office in Orofino and at the Moose Creek Ranger District office at Fenn. A copy of the CD-ROM has been sent to Fenn, to Orofino, and two copies are being retained by the University of Idaho Library. One will be kept in Special Collections.",A 1394-33,Images are scanned at 300 dpi using an HP 4c scanner and are saved on the CD-ROM as compressed TIFF files.,"Materials from the University of Idaho Library's Digital Collections are made available online for research purposes. Permission for reproduction, distribution, public display, performance, or publication must be obtained in writing from the Head of Special Collections & Archives. The University of Idaho Library makes no representation that it is the copyright owner in all of its holdings. It is the responsibility of the user to obtain all necessary rights and clearances for use of materials. For questions, contact the Head of Special Collections & Archives.",image/jpeg,Image;StillImage,,,Idaho Aerial Photograph Collection,CD-ROM F746.P76 1997,University of Idaho Library,eng,1997,2008-12-01,Dennis Baird,2009-01-07,2014-10-28,51,aerial51,image,aerial51.jpg,https://objects.lib.uidaho.edu/aerial/aerial51.jpg,https://objects.lib.uidaho.edu/aerial/small/aerial51_sm.jpg,https://objects.lib.uidaho.edu/aerial/thumbs/aerial51_th.jpg,
