objectid,title,creator,date,date_is_approximate,description,subject,subject_lcsh,subject_lctgm,location_depicted,idaho_county,location,latitude,longitude,identifier,source,rights,rightsstatement,findingaid,digital_collection,holding_institution,format_original,type,format,digital_identifier,date_digital,language,web site,digital_specifications,original reference url,original contentdm number,date created,cdm_url,cdmid,display_template,filename,object_location,image_small,image_thumb
barstock0,"Hercules Mine, Burke (Idaho) [03]","Barnard Studio (Wallace, Idaho)",1915,yes,"A distant view of Hercules Mine in Burke, Idaho.",mines (extracting complexes); mine buildings; iron mines; silver mines,"Barnard, T. N. (Thomas Nathan) - Photograph collections; Stockbridge, Nellie - Photograph collections; Hercules Mine (Idaho); Silver mines and mining; Mines and mineral resources - Idaho; Wooden-frame buildings",Mining;  Mine buildings,United States - Idaho - Shoshone County - Burke,Shoshone County,"Burke, Idaho",47.542337,-115.808902,PG 8-X001a,"Barnard-Stockbridge photograph collection, 1894-1964, PG 8-2, University of Idaho Library Special Collections and Archives","Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,https://archiveswest.orbiscascade.org/ark:80444/xv407875?,Barnard-Stockbridge Photograph Collection,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",8x10 black and white glass negative,Image;StillImage,image/jpeg,8-X00001a,2009-02-18,eng,http://www.lib.uidaho.edu/digital/barstock/,"300 dpi grayscale, Scanned from a 8 x 10 black and white print. Master is a 300 dpi Tiff.","http://contentdm.lib.uidaho.edu/u?/barstock,219",219,2011-12-16,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/0,0,image,barstock0.jpg,https://objects.lib.uidaho.edu/barstock/barstock0.jpg,https://objects.lib.uidaho.edu/barstock/small/barstock0_sm.jpg,https://objects.lib.uidaho.edu/barstock/thumbs/barstock0_th.jpg
barstock1,"Little Pittsburg, Kellogg (Idaho) [03]","Barnard Studio (Wallace, Idaho)",1910,yes,A snow covered setting with the sun shining through the trees shows the road that leads to Beebe Bros. Mine.,mines (extracting complexes); silver mines,"Barnard, T. N. (Thomas Nathan) - Photograph collections; Stockbridge, Nellie - Photograph collections; Mines and mineral resources - Idaho",Mining;  Mine buildings,United States - Idaho - Shoshone County - Kellogg,Shoshone County,"Masonia, Idaho",47.479804,-116.199539,PG 8-X004d,"Barnard-Stockbridge photograph collection, 1894-1964, PG 8-2, University of Idaho Library Special Collections and Archives","Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,https://archiveswest.orbiscascade.org/ark:80444/xv407875?,Barnard-Stockbridge Photograph Collection,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",8x10 black and white glass negative,Image;StillImage,image/jpeg,8-X00004d,2009-02-18,eng,http://www.lib.uidaho.edu/digital/barstock/,"300 dpi grayscale, Scanned from a 8 x 10 black and white print. Master is a 300 dpi Tiff.","http://contentdm.lib.uidaho.edu/u?/barstock,228",228,2011-12-16,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/1,1,image,barstock1.jpg,https://objects.lib.uidaho.edu/barstock/barstock1.jpg,https://objects.lib.uidaho.edu/barstock/small/barstock1_sm.jpg,https://objects.lib.uidaho.edu/barstock/thumbs/barstock1_th.jpg
barstock2,"Certificate of Citizenship for Joseph Abicor, 1913 [01]","Barnard Studio (Wallace, Idaho)",1913,yes,Image is a copy of the citizenship certificate for Joseph Arbicor.,,"Barnard, T. N. (Thomas Nathan) - Photograph collections; Stockbridge, Nellie - Photograph collections",,United States - Idaho - Shoshone County,Shoshone County,,47.474095,-115.927939,PG 8-X084a,"Barnard-Stockbridge photograph collection, 1894-1964, PG 8-2, University of Idaho Library Special Collections and Archives","Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,https://archiveswest.orbiscascade.org/ark:80444/xv407875?,Barnard-Stockbridge Photograph Collection,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",8x10 black and white glass negative,Image;StillImage,image/jpeg,8-X00084a,2009-03-11,eng,http://www.lib.uidaho.edu/digital/barstock/,"300 dpi grayscale, Scanned from a 8 x 10 black and white print. Master is a 300 dpi Tiff.","http://contentdm.lib.uidaho.edu/u?/barstock,334",334,2011-12-16,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/2,2,image,barstock2.jpg,https://objects.lib.uidaho.edu/barstock/barstock2.jpg,https://objects.lib.uidaho.edu/barstock/small/barstock2_sm.jpg,https://objects.lib.uidaho.edu/barstock/thumbs/barstock2_th.jpg
barstock3,"Certificate of Citizenship for Joseph Abicor, 1913 [02]","Barnard Studio (Wallace, Idaho)",1913,yes,Image is a copy of the citizenship certificate for Joseph Arbicor.,,"Barnard, T. N. (Thomas Nathan) - Photograph collections; Stockbridge, Nellie - Photograph collections",,United States - Colorado - Lake County,Lake County,,47.474055,-115.927949,PG 8-X084b,"Barnard-Stockbridge photograph collection, 1894-1964, PG 8-2, University of Idaho Library Special Collections and Archives","Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,https://archiveswest.orbiscascade.org/ark:80444/xv407875?,Barnard-Stockbridge Photograph Collection,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",8x10 black and white glass negative,Image;StillImage,image/jpeg,8-X00084b,2009-03-11,eng,http://www.lib.uidaho.edu/digital/barstock/,"300 dpi grayscale, Scanned from a 8 x 10 black and white print. Master is a 300 dpi Tiff.","http://contentdm.lib.uidaho.edu/u?/barstock,335",335,2011-12-16,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/3,3,image,barstock3.jpg,https://objects.lib.uidaho.edu/barstock/barstock3.jpg,https://objects.lib.uidaho.edu/barstock/small/barstock3_sm.jpg,https://objects.lib.uidaho.edu/barstock/thumbs/barstock3_th.jpg
barstock4,"Frisco Mill-Explosion, Gem (Idaho), 1892 [1]","Barnard Studio (Wallace, Idaho)",1892-07-11,,"View of the Frisco Mill-Explosion in Gem, Idaho after dynamite explosion set by Union Strikers.",buildings (structures); mills (buildings); railroads; explosions,"Barnard, T. N. (Thomas Nathan) - Photograph collections; Stockbridge, Nellie - Photograph collections",Debris;  Wooden buildings,United States - Idaho - Shoshone County - Gem,Shoshone County,"Burke, Idaho",47.507922,-115.869847,PG 8-X085,"Barnard-Stockbridge photograph collection, 1894-1964, PG 8-2, University of Idaho Library Special Collections and Archives","Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,https://archiveswest.orbiscascade.org/ark:80444/xv407875?,Barnard-Stockbridge Photograph Collection,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",8x10 black and white glass negative,Image;StillImage,image/jpeg,8-X00085,2009-03-11,eng,http://www.lib.uidaho.edu/digital/barstock/,"300 dpi grayscale, Scanned from a 8 x 10 black and white print. Master is a 300 dpi Tiff.","http://contentdm.lib.uidaho.edu/u?/barstock,336",336,2011-12-16,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/4,4,image,barstock4.jpg,https://objects.lib.uidaho.edu/barstock/barstock4.jpg,https://objects.lib.uidaho.edu/barstock/small/barstock4_sm.jpg,https://objects.lib.uidaho.edu/barstock/thumbs/barstock4_th.jpg
barstock5,"Frisco Mill-Explosion, Gem (Idaho), 1892 [2]","Barnard Studio (Wallace, Idaho)",1892-07-11,,"View of the Frisco Mill-Explosion in Gem, Idaho after dynamite explosion set by Union Strikers.",buildings (structures); mills (buildings); railroads; explosions,"Barnard, T. N. (Thomas Nathan) - Photograph collections; Stockbridge, Nellie - Photograph collections",Debris;  Wooden buildings,United States - Idaho - Shoshone County - Gem,Shoshone County,"Burke, Idaho",47.507932,-115.869857,PG 8-X086,"Barnard-Stockbridge photograph collection, 1894-1964, PG 8-2, University of Idaho Library Special Collections and Archives","Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,https://archiveswest.orbiscascade.org/ark:80444/xv407875?,Barnard-Stockbridge Photograph Collection,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",8x10 black and white glass negative,Image;StillImage,image/jpeg,8-X00086,2009-03-11,eng,http://www.lib.uidaho.edu/digital/barstock/,"300 dpi grayscale, Scanned from a 8 x 10 black and white print. Master is a 300 dpi Tiff.","http://contentdm.lib.uidaho.edu/u?/barstock,337",337,2011-12-16,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/5,5,image,barstock5.jpg,https://objects.lib.uidaho.edu/barstock/barstock5.jpg,https://objects.lib.uidaho.edu/barstock/small/barstock5_sm.jpg,https://objects.lib.uidaho.edu/barstock/thumbs/barstock5_th.jpg
barstock6,"Wallace (Idaho), Forest fire of 1910, Coeur d'Alene Hardware Warehouse [02]","Barnard Studio (Wallace, Idaho)",1910-08-20,,"Image shows the debris from the Coeur d'Alene Hardware Warehouse on September 3, 1910 after the fire on August 20, 1910 swept went through Wallace, Idaho.",fires; groups of people; railroads; business (commercial function),"Barnard, T. N. (Thomas Nathan) - Photograph collections; Stockbridge, Nellie - Photograph collections",Debris;  Cities and towns;  Men;  Women,United States - Idaho - Shoshone County - Wallace,Shoshone County,"Wallace, Idaho",47.471576,-115.923782,PG 8-X087,"Barnard-Stockbridge photograph collection, 1894-1964, PG 8-2, University of Idaho Library Special Collections and Archives","Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,https://archiveswest.orbiscascade.org/ark:80444/xv407875?,Barnard-Stockbridge Photograph Collection,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",8x10 black and white glass negative,Image;StillImage,image/jpeg,8-X00087,2009-03-11,eng,http://www.lib.uidaho.edu/digital/barstock/,"300 dpi grayscale, Scanned from a 8 x 10 black and white print. Master is a 300 dpi Tiff.","http://contentdm.lib.uidaho.edu/u?/barstock,338",338,2011-12-16,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/6,6,image,barstock6.jpg,https://objects.lib.uidaho.edu/barstock/barstock6.jpg,https://objects.lib.uidaho.edu/barstock/small/barstock6_sm.jpg,https://objects.lib.uidaho.edu/barstock/thumbs/barstock6_th.jpg
barstock7,"Wallace (Idaho), Wallace National Bank building, 1912","Barnard Studio (Wallace, Idaho)",1912-08-19,,"Exterior view of the Wallace National Bank in Wallace, Idaho on the corner of 6th and Cedar. Caption on front: ""6th and Cedar""",banks (financial institutions); buildings (structures); groups of people; automobiles; business (commercial function),"Barnard, T. N. (Thomas Nathan) - Photograph collections; Stockbridge, Nellie - Photograph collections",Banks;  Stone Buildings;  Men;  Women;  Children;  Automobiles,United States - Idaho - Shoshone County - Wallace,Shoshone County,"Wallace, Idaho",47.474095,-115.927939,PG 8-X048,"Barnard-Stockbridge photograph collection, 1894-1964, PG 8-2, University of Idaho Library Special Collections and Archives","Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,https://archiveswest.orbiscascade.org/ark:80444/xv407875?,Barnard-Stockbridge Photograph Collection,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",8x10 black and white glass negative,Image;StillImage,image/jpeg,8-X00048,2009-02-20,eng,http://www.lib.uidaho.edu/digital/barstock/,"300 dpi grayscale, Scanned from a 8 x 10 black and white print. Master is a 300 dpi Tiff.","http://contentdm.lib.uidaho.edu/u?/barstock,279",279,2011-12-16,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/7,7,image,barstock7.jpg,https://objects.lib.uidaho.edu/barstock/barstock7.jpg,https://objects.lib.uidaho.edu/barstock/small/barstock7_sm.jpg,https://objects.lib.uidaho.edu/barstock/thumbs/barstock7_th.jpg
barstock8,"Wallace (Idaho), Forest fire of 1910, Coeur d'Alene Hardware Warehouse [01]","Barnard Studio (Wallace, Idaho)",1910-08-20,,"Image shows the debris from the Coeur d'Alene Hardware Warehouse on September 3, 1910 after the fire on August 20, 1910 swept went through Wallace, Idaho.",fires; business (commercial function),"Barnard, T. N. (Thomas Nathan) - Photograph collections; Stockbridge, Nellie - Photograph collections",Debris;  Buildings;  Bricks;  Cities and towns,United States - Idaho - Shoshone County - Wallace,Shoshone County,"Wallace, Idaho",47.471586,-115.923772,PG 8-X088,"Barnard-Stockbridge photograph collection, 1894-1964, PG 8-2, University of Idaho Library Special Collections and Archives","Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,https://archiveswest.orbiscascade.org/ark:80444/xv407875?,Barnard-Stockbridge Photograph Collection,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",8x10 black and white glass negative,Image;StillImage,image/jpeg,8-X00088,2009-03-11,eng,http://www.lib.uidaho.edu/digital/barstock/,"300 dpi grayscale, Scanned from a 8 x 10 black and white print. Master is a 300 dpi Tiff.","http://contentdm.lib.uidaho.edu/u?/barstock,339",339,2011-12-16,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/8,8,image,barstock8.jpg,https://objects.lib.uidaho.edu/barstock/barstock8.jpg,https://objects.lib.uidaho.edu/barstock/small/barstock8_sm.jpg,https://objects.lib.uidaho.edu/barstock/thumbs/barstock8_th.jpg
barstock9,"Wallace (Idaho), Forest fire of 1910, Brewery","Barnard Studio (Wallace, Idaho)",1910-08-20,,"Image shows the brewery in Wallace, Idaho after the fire of August 20, 1910.",fires; buildings (structures); business (commercial function),"Barnard, T. N. (Thomas Nathan) - Photograph collections; Stockbridge, Nellie - Photograph collections",Debris;  Buildings;  Bricks;  Cities and towns,United States - Idaho - Shoshone County - Wallace,Shoshone County,"Wallace, Idaho",47.471615,-115.922218,PG 8-X089a,"Barnard-Stockbridge photograph collection, 1894-1964, PG 8-2, University of Idaho Library Special Collections and Archives","Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,https://archiveswest.orbiscascade.org/ark:80444/xv407875?,Barnard-Stockbridge Photograph Collection,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",8x10 black and white glass negative,Image;StillImage,image/jpeg,8-X00089a,2009-03-11,eng,http://www.lib.uidaho.edu/digital/barstock/,"300 dpi grayscale, Scanned from a 8 x 10 black and white print. Master is a 300 dpi Tiff.","http://contentdm.lib.uidaho.edu/u?/barstock,340",340,2011-12-16,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/9,9,image,barstock9.jpg,https://objects.lib.uidaho.edu/barstock/barstock9.jpg,https://objects.lib.uidaho.edu/barstock/small/barstock9_sm.jpg,https://objects.lib.uidaho.edu/barstock/thumbs/barstock9_th.jpg
