title,date,date is approximate?,description,idaho_county,location,latitude,longitude,subject,source,identifier,donor,collection,format original,type,format,language,rights,rightsstatement,cdm_url,collectionid,cdmid,objectid,display_template,filename,object_location,image_small,image_thumb,errors
"Three unidentified store fronts. Nez Perce, Idaho.",1898,y,Note with photo 'Nez Perce or Craigmont',Lewis County,"Nez Perce, Idaho",46.234981,-116.242079,main streets; stores,Photo Group 5 | University of Idaho Library Special Collections & Archives | https://www.lib.uidaho.edu/special-collections/,5-101-1,Malcolm D. Alexander,Idaho Cities & Towns Collection,4.75x5.5 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cities/id/0,cities,0,cities0,image,cities0.jpg,https://objects.lib.uidaho.edu/cities/cities0.jpg,https://objects.lib.uidaho.edu/cities/small/cities0_sm.jpg,https://objects.lib.uidaho.edu/cities/thumbs/cities0_th.jpg,
"Lobby of Hotel Harrison. Harrison, Idaho.",1905,y,,Kootenai County,"Harrison, Idaho",47.457733,-116.781133,interiors; hotels (public accommodations),Photo Group 5 | University of Idaho Library Special Collections & Archives | https://www.lib.uidaho.edu/special-collections/,5-115-2c,,Idaho Cities & Towns Collection,3.5x5 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cities/id/1,cities,1,cities1,image,cities1.jpg,https://objects.lib.uidaho.edu/cities/cities1.jpg,https://objects.lib.uidaho.edu/cities/small/cities1_sm.jpg,https://objects.lib.uidaho.edu/cities/thumbs/cities1_th.jpg,
"J.R. Painter Ranch? Dixie, Idaho.",1932,y,,Idaho County,"Dixie, Idaho",45.554155,-115.461055,panoramas; mountains; rivers,Photo Group 5 | University of Idaho Library Special Collections & Archives | https://www.lib.uidaho.edu/special-collections/,5-123-06a,Hugh H. Eminger,Idaho Cities & Towns Collection,5x7 black and white print,Image;StillImage,image/jpeg,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cities/id/2,cities,2,cities2,image,cities2.jpg,https://objects.lib.uidaho.edu/cities/cities2.jpg,https://objects.lib.uidaho.edu/cities/small/cities2_sm.jpg,https://objects.lib.uidaho.edu/cities/thumbs/cities2_th.jpg,
"Automobile accident. Troy, Idaho?",1923,y,Approximate location if Troy (Duthe Park),Latah County,"Troy, Idaho",46.738793,-116.768966,accident; automobiles,Photo Group 5 | University of Idaho Library Special Collections & Archives | https://www.lib.uidaho.edu/special-collections/,5-077-10a,Clyde Spencer,Idaho Cities & Towns Collection,7.5x9 black and white print,Image;StillImage,image/jpeg,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cities/id/3,cities,3,cities3,image,cities3.jpg,https://objects.lib.uidaho.edu/cities/cities3.jpg,https://objects.lib.uidaho.edu/cities/small/cities3_sm.jpg,https://objects.lib.uidaho.edu/cities/thumbs/cities3_th.jpg,
"J.R. Painter Ranch? Dixie, Idaho.",1932,y,,Idaho County,"Dixie, Idaho",45.554166,-115.461066,panoramas; mountains; rivers,Photo Group 5 | University of Idaho Library Special Collections & Archives | https://www.lib.uidaho.edu/special-collections/,5-123-06b,Hugh H. Eminger,Idaho Cities & Towns Collection,5x7 black and white print,Image;StillImage,image/jpeg,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cities/id/4,cities,4,cities4,image,cities4.jpg,https://objects.lib.uidaho.edu/cities/cities4.jpg,https://objects.lib.uidaho.edu/cities/small/cities4_sm.jpg,https://objects.lib.uidaho.edu/cities/thumbs/cities4_th.jpg,
Cecil McCracker holding a set of Bighorn Sheep horns.,1933,,,Idaho County,"Dixie, Idaho",45.554177,-115.461077,skull (skeleton component),Photo Group 5 | University of Idaho Library Special Collections & Archives | https://www.lib.uidaho.edu/special-collections/,5-123-07a,Hugh H. Eminger,Idaho Cities & Towns Collection,5x7 black and white print,Image;StillImage,image/jpeg,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cities/id/5,cities,5,cities5,image,cities5.jpg,https://objects.lib.uidaho.edu/cities/cities5.jpg,https://objects.lib.uidaho.edu/cities/small/cities5_sm.jpg,https://objects.lib.uidaho.edu/cities/thumbs/cities5_th.jpg,
"Pick' Ward wearing white apron and chef's cap and Kay Flores. Dixie, Idaho.",1938,y,,Idaho County,"Dixie, Idaho",45.554277,-115.461177,cooks,Photo Group 5 | University of Idaho Library Special Collections & Archives | https://www.lib.uidaho.edu/special-collections/,5-123-07b,Hugh H. Eminger,Idaho Cities & Towns Collection,5x7 black and white print,Image;StillImage,image/jpeg,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cities/id/6,cities,6,cities6,image,cities6.jpg,https://objects.lib.uidaho.edu/cities/cities6.jpg,https://objects.lib.uidaho.edu/cities/small/cities6_sm.jpg,https://objects.lib.uidaho.edu/cities/thumbs/cities6_th.jpg,
"Hanging the Kaiser in effigy. Challis, Idaho.",1918,,,Custer County,"Challis, Idaho",44.504611,-114.231711,main streets; political events,Photo Group 5 | University of Idaho Library Special Collections & Archives | https://www.lib.uidaho.edu/special-collections/,5-104-2,Challis Public Library,Idaho Cities & Towns Collection,4x4.75 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cities/id/7,cities,7,cities7,image,cities7.jpg,https://objects.lib.uidaho.edu/cities/cities7.jpg,https://objects.lib.uidaho.edu/cities/small/cities7_sm.jpg,https://objects.lib.uidaho.edu/cities/thumbs/cities7_th.jpg,
"Sam Lee Laundry. China Town in North Challis. Challis, Idaho.",1900,,,Custer County,"Challis, Idaho",44.506139,-114.227021,laundries (businesses),Photo Group 5 | University of Idaho Library Special Collections & Archives | https://www.lib.uidaho.edu/special-collections/,5-104-2a,Challis Public Library,Idaho Cities & Towns Collection,3.75x4.75 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cities/id/8,cities,8,cities8,image,cities8.jpg,https://objects.lib.uidaho.edu/cities/cities8.jpg,https://objects.lib.uidaho.edu/cities/small/cities8_sm.jpg,https://objects.lib.uidaho.edu/cities/thumbs/cities8_th.jpg,
"Challis House on Main Street above Legion hall. Challis, Idaho.",1892,,,Custer County,"Challis, Idaho",44.504622,-114.231722,halls,Photo Group 5 | University of Idaho Library Special Collections & Archives | https://www.lib.uidaho.edu/special-collections/,5-104-2b,Challis Public Library,Idaho Cities & Towns Collection,3.75x4.75 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cities/id/9,cities,9,cities9,image,cities9.jpg,https://objects.lib.uidaho.edu/cities/cities9.jpg,https://objects.lib.uidaho.edu/cities/small/cities9_sm.jpg,https://objects.lib.uidaho.edu/cities/thumbs/cities9_th.jpg,
