objectid,title,creator,date,archival_date,description,image_alt_text,subject,location,source,identifier,type,format,finding_aid,language,rights,rightsstatement,filename_original,filename,display_template,object_location,image_small,image_thumb
engrir258,Idaho Asphalt Conference Program 2015,"Duval, John;West, Randy;Kassem, Emad;Wen, Haifang;Miles, Jeff;Johnson, Dave;Collins, Wade;Bayomy, Fouad",2015,2015-10-22,Program for the 55th Annual Idaho Asphalt Conference,,asphalt; conferences,"Moscow, Idaho",,idaho-asphalt-conference-2015,Text,application/pdf,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,idaho-asphalt-conference-2015.pdf,pdf,https://objects.lib.uidaho.edu/engrir/idaho-asphalt-conference-2015.pdf,https://objects.lib.uidaho.edu/engrir/small/idaho-asphalt-conference-2015_sm.jpg,https://objects.lib.uidaho.edu/engrir/thumbs/idaho-asphalt-conference-2015_th.jpg
engrir259,Idaho Asphalt Conference Program 2016,"Colberg, Patricia;Epps-Martin, Amy;DeVol, Joe;White, George;McKee, Mike;Kassem, Emad;Jones, Wayne;Ibrahim, Ahmed;Johnson, Dave",2016,2016-10-27,Program for the 56th Annual Idaho Asphalt Conference,,asphalt; conferences,"Moscow, Idaho",,idaho-asphalt-conference-2016,Text,application/pdf,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,idaho-asphalt-conference-2016.pdf,pdf,https://objects.lib.uidaho.edu/engrir/idaho-asphalt-conference-2016.pdf,https://objects.lib.uidaho.edu/engrir/small/idaho-asphalt-conference-2016_sm.jpg,https://objects.lib.uidaho.edu/engrir/thumbs/idaho-asphalt-conference-2016_th.jpg
engrir260,Idaho Asphalt Conference Program 2017,"Pierce, Linda;Zaharewicz, Jeffrey A.;Rosales, Alejandro;Van de Bogert, Stephen;Klentzman, Rex;Mishra, Deb;Mansell, Todd;Johnson, Dave",2017,2017-10-26,Program for the 57th Annual Idaho Asphalt Conference,,asphalt; conferences,"Moscow, Idaho",,idaho-asphalt-conference-2017,Text,application/pdf,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,idaho-asphalt-conference-2017.pdf,pdf,https://objects.lib.uidaho.edu/engrir/idaho-asphalt-conference-2017.pdf,https://objects.lib.uidaho.edu/engrir/small/idaho-asphalt-conference-2017_sm.jpg,https://objects.lib.uidaho.edu/engrir/thumbs/idaho-asphalt-conference-2017_th.jpg
engrir261,Idaho Asphalt Conference Program 2018,"McCarthy, Leslie;Huber, Gerry;Blow, Mark;Giessel, Rich;Chatfield, Megan;Sharma, Sunil",2018,2018-10-25,Program for the 58th Annual Idaho Asphalt Conference,,asphalt; conferences,"Moscow, Idaho",,idaho-asphalt-conference-2018,Text,application/pdf,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,idaho-asphalt-conference-2018.pdf,pdf,https://objects.lib.uidaho.edu/engrir/idaho-asphalt-conference-2018.pdf,https://objects.lib.uidaho.edu/engrir/small/idaho-asphalt-conference-2018_sm.jpg,https://objects.lib.uidaho.edu/engrir/thumbs/idaho-asphalt-conference-2018_th.jpg
engrir262,Idaho Asphalt Conference Program 2019,"Scullion, Tom;Poorbaugh, James;Boswell, Melynda;Kassem, Emad;Alkuime, Hamza;DeVol, Joe;Bussert, Kevin;Rabine, Jordan;Olsen, Doug;Thompson, Rod;Bayomy, Fouad",2019,2019-10-24,Program for the 59th Annual Idaho Asphalt Conference,,asphalt; conferences,"Moscow, Idaho",,idaho-asphalt-conference-2019,Text,application/pdf,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,idaho-asphalt-conference-2019.pdf,pdf,https://objects.lib.uidaho.edu/engrir/idaho-asphalt-conference-2019.pdf,https://objects.lib.uidaho.edu/engrir/small/idaho-asphalt-conference-2019_sm.jpg,https://objects.lib.uidaho.edu/engrir/thumbs/idaho-asphalt-conference-2019_th.jpg
engrir263,Idaho Asphalt Conference Program 2020,"Buchanan, Shane;Huber, Gerry;Hefel, Steven;Clark, Trenton;Anderson, Mike;Murphy, Timothy",2020,2020-10-22,Program for the 60th Annual Idaho Asphalt Conference,,asphalt; conferences,,,idaho-asphalt-conference-2020,Text,application/pdf,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,idaho-asphalt-conference-2020.pdf,pdf,https://objects.lib.uidaho.edu/engrir/idaho-asphalt-conference-2020.pdf,https://objects.lib.uidaho.edu/engrir/small/idaho-asphalt-conference-2020_sm.jpg,https://objects.lib.uidaho.edu/engrir/thumbs/idaho-asphalt-conference-2020_th.jpg
engrir264,Idaho Asphalt Conference Program 2021,"Johnson, Dave;Mansell, Dave;Kassem, Emad;Willis, Richard;Arambarri, John;Anderson, Mike;Jones, Dave;Vargas, Adrian",2021,2021-10-28,Program for the 61st Annual Idaho Asphalt Conference,,asphalt; conferences,"Moscow, Idaho",,idaho-asphalt-conference-2021,Text,application/pdf,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,idaho-asphalt-conference-2021.pdf,pdf,https://objects.lib.uidaho.edu/engrir/idaho-asphalt-conference-2021.pdf,https://objects.lib.uidaho.edu/engrir/small/idaho-asphalt-conference-2021_sm.jpg,https://objects.lib.uidaho.edu/engrir/thumbs/idaho-asphalt-conference-2021_th.jpg
engrir265,Idaho Asphalt Conference Program 2022,"Kassem, Emad;Long, Suzanna;Anderson, Howard;Dastrup, Jared;Kirkman, Tom;Yerger, Miles;Johnson, Dave;Zahrn, Tim;Daranga, Codrin;Powell, Buzz",2022,2022-10-27,Program for the 62nd Annual Idaho Asphalt Conference,,asphalt; conferences,"Moscow, Idaho",,idaho-asphalt-conference-2022,Text,application/pdf,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,idaho-asphalt-conference-2022.pdf,pdf,https://objects.lib.uidaho.edu/engrir/idaho-asphalt-conference-2022.pdf,https://objects.lib.uidaho.edu/engrir/small/idaho-asphalt-conference-2022_sm.jpg,https://objects.lib.uidaho.edu/engrir/thumbs/idaho-asphalt-conference-2022_th.jpg
engrir266,Idaho Asphalt Conference Program 2023,"Kassem, Emad;Potirniche, Gabriel;Quire, Scott;Murphy, Tim;Al Hatailah, Hussain;Anderson, Mike;Arambarri, John;Johnson, Dave;Welch, Jarrett;Olsen; Doug",2023,2023-10-25,Program for the 63rd Annual Idaho Asphalt Conference,,asphalt; conferences,"Moscow, Idaho",,idaho-asphalt-conference-2023,Text,application/pdf,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,idaho-asphalt-conference-2023.pdf,pdf,https://objects.lib.uidaho.edu/engrir/idaho-asphalt-conference-2023.pdf,https://objects.lib.uidaho.edu/engrir/small/idaho-asphalt-conference-2023_sm.jpg,https://objects.lib.uidaho.edu/engrir/thumbs/idaho-asphalt-conference-2023_th.jpg
engrir267,Idaho Asphalt Conference Program 2024,"Dmytrow, Scott;Kassem, Emad;Long, Suzanna;Johnson, Dave;Powell, Buzz;Arambarri, John;Allen, Grover;Bhat, Chait;Williams, Brett;Moore, Nathan",2024,2024-10-23,Program for the 64th Annual Idaho Asphalt Conference,,asphalt; conferences,"Moscow, Idaho",,idaho-asphalt-conference-2024,Text,application/pdf,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,idaho-asphalt-conference-2024.pdf,pdf,https://objects.lib.uidaho.edu/engrir/idaho-asphalt-conference-2024.pdf,https://objects.lib.uidaho.edu/engrir/small/idaho-asphalt-conference-2024_sm.jpg,https://objects.lib.uidaho.edu/engrir/thumbs/idaho-asphalt-conference-2024_th.jpg
