objectid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format_original,format,finding_aid,digital_collection,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb
ug135-scrapbook1-page1,WAMI Program Meeting at University of Idaho,Unknown,1972,A black and white photograph showing a group of individuals seated around a conference table at the University of Idaho.,WAMI Program; University of Idaho; Medical Education; 1972-73,"Moscow, Idaho",46.73252947,-117.0017431,"WWAMI collection, UG 135, University of Idaho Library Special Collections and Archives",ug135-scrapbook1-page1,Image;StillImage,Photograph,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv759233,WWAMI Scrapbook,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://objects.lib.uidaho.edu/wwami/wwami_001.jpg,https://objects.lib.uidaho.edu/wwami/small/wwami_001_sm.jpg,"https://objects.lib.uidaho.edu/wwami/thumbs/wwami_001_th.jpg"
ug135-scrapbook1-page2,Letter from MSRM Program Director to M. Roy Schwarz,Unknown,1971-12-27,"A letter from Mountain States Regional Medical Program Regional Director to M. Roy Schwarz, discussing the Mountain States Regional Medical Program.",WAMI Program; University of Idaho; Medical Letter,"Moscow, Idaho",46.73252947,-117.0017431,"WWAMI collection, UG 135, University of Idaho Library Special Collections and Archives",ug135-scrapbook1-page2,Image;StillImage,Letter,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv759233,WWAMI Scrapbook,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://objects.lib.uidaho.edu/wwami/wwami_002.jpg,https://objects.lib.uidaho.edu/wwami/small/wwami_002_sm.jpg,"https://objects.lib.uidaho.edu/wwami/thumbs/wwami_002_th.jpg"
ug135-scrapbook1-page3,WAMI Committee Criticized for Hasty Work,Unknown,1972-02,"A newspaper clipping from the Missoulian, discussing the criticism faced by the WAMI committee for hasty work.",WAMI Program; University of Idaho; News Article,"Missoula, Montana",46.8721,-113.994,"WWAMI collection, UG 135, University of Idaho Library Special Collections and Archives",ug135-scrapbook1-page3,Image;StillImage,Letter,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv759233,WWAMI Scrapbook,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://objects.lib.uidaho.edu/wwami/wwami_003.jpg,https://objects.lib.uidaho.edu/wwami/small/wwami_003_sm.jpg,"https://objects.lib.uidaho.edu/wwami/thumbs/wwami_003_th.jpg"
ug135-scrapbook1-page4,Letter from State Board of Education to M. Roy Schwarz - Feb,Unknown,1972-02-18,"A letter from the State Board of Education to M. Roy Schwarz, discussing the approval of recommendations for the WAMI program.",WAMI Program; University of Idaho; Medical Letter,"Moscow, Idaho",46.73252947,-117.0017431,"WWAMI collection, UG 135, University of Idaho Library Special Collections and Archives",ug135-scrapbook1-page4,Image;StillImage,Letter,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv759233,WWAMI Scrapbook,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://objects.lib.uidaho.edu/wwami/wwami_004.jpg,https://objects.lib.uidaho.edu/wwami/small/wwami_004_sm.jpg,"https://objects.lib.uidaho.edu/wwami/thumbs/wwami_004_th.jpg"
ug135-scrapbook1-page5,Letter from State Board of Education to M. Roy Schwarz - March,Unknown,1972-03-02,"A letter from the State Board of Education to M. Roy Schwarz, discussing the adoption of a resolution related to the WAMI program.",WAMI Program; University of Idaho; Medical Letter,"Moscow, Idaho",46.73252947,-117.0017431,"WWAMI collection, UG 135, University of Idaho Library Special Collections and Archives",ug135-scrapbook1-page5,Image;StillImage,Letter,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv759233,WWAMI Scrapbook,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://objects.lib.uidaho.edu/wwami/wwami_005.jpg,https://objects.lib.uidaho.edu/wwami/small/wwami_005_sm.jpg,"https://objects.lib.uidaho.edu/wwami/thumbs/wwami_005_th.jpg"
ug135-scrapbook1-page6,U of I Set as First Step in Joint Medical Program,Unknown,1972-03-10,A newspaper clipping from the Idaho Argonaut discussing the University of Idaho's participation in the joint medical program with the University of Washington.,WAMI Program; University of Idaho; News Article,"Moscow, Idaho",46.73252947,-117.0017431,"WWAMI collection, UG 135, University of Idaho Library Special Collections and Archives",ug135-scrapbook1-page6,Image;StillImage,Letter,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv759233,WWAMI Scrapbook,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://objects.lib.uidaho.edu/wwami/wwami_006.jpg,https://objects.lib.uidaho.edu/wwami/small/wwami_006_sm.jpg,"https://objects.lib.uidaho.edu/wwami/thumbs/wwami_006_th.jpg"
ug135-scrapbook1-page7,Letter from Governor's Advisory Council to Robert L. Van Citters,Unknown,1972-03-27,"A letter from the Governor's Advisory Council to Robert L. Van Citters, discussing its recommendation as a viable method of medical education.",WAMI Program; University of Idaho; Medical Letter,"Moscow, Idaho",46.73252947,-117.0017431,"WWAMI collection, UG 135, University of Idaho Library Special Collections and Archives",ug135-scrapbook1-page7,Image;StillImage,Newspaper Clipping,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv759233,WWAMI Scrapbook,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://objects.lib.uidaho.edu/wwami/wwami_007.jpg,https://objects.lib.uidaho.edu/wwami/small/wwami_007_sm.jpg,"https://objects.lib.uidaho.edu/wwami/thumbs/wwami_007_th.jpg"
ug135-scrapbook1-page8,Hope for Relieving Rural Medical Shortage Seen in New Program,Unknown,1972-04,A newspaper clipping discussing the new WAMI program and its potential to relieve the rural medical shortage.,WAMI Program; University of Idaho; News Article,"Moscow, Idaho",46.73252947,-117.0017431,"WWAMI collection, UG 135, University of Idaho Library Special Collections and Archives",ug135-scrapbook1-page8,Image;StillImage,Newspaper Clipping,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv759233,WWAMI Scrapbook,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://objects.lib.uidaho.edu/wwami/wwami_008.jpg,https://objects.lib.uidaho.edu/wwami/small/wwami_008_sm.jpg,"https://objects.lib.uidaho.edu/wwami/thumbs/wwami_008_th.jpg"
ug135-scrapbook1-page9,Idaho Joins WAMI for the Northwest,Unknown,1972-05-25,Press release on the formal agreement for the WAMI program.,WAMI Program; University of Idaho; Medical Letter,"Moscow, Idaho",46.73252947,-117.0017431,"WWAMI collection, UG 135, University of Idaho Library Special Collections and Archives",ug135-scrapbook1-page9,Image;StillImage,Press Release,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv759233,WWAMI Scrapbook,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://objects.lib.uidaho.edu/wwami/wwami_009.jpg,https://objects.lib.uidaho.edu/wwami/small/wwami_009_sm.jpg,"https://objects.lib.uidaho.edu/wwami/thumbs/wwami_009_th.jpg"
ug135-scrapbook1-page10,WAMI Program to Get Rural MDs,Unknown,1972-08-30,"A newspaper clipping from the Idaho Statesman, discussing the WAMI program and its efforts to get rural MDs. This page also contains the continuation of the press release from page 9.",WAMI Program; University of Idaho; News Article,"Moscow, Idaho",46.73252947,-117.0017431,"WWAMI collection, UG 135, University of Idaho Library Special Collections and Archives",ug135-scrapbook1-page10,Image;StillImage,Newspaper Clipping,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv759233,WWAMI Scrapbook,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://objects.lib.uidaho.edu/wwami/wwami_010.jpg,https://objects.lib.uidaho.edu/wwami/small/wwami_010_sm.jpg,"https://objects.lib.uidaho.edu/wwami/thumbs/wwami_010_th.jpg"
